Date,Cloudiness,Rainfall,Max Temperature,Min Temperature,Humidity,Mean Temperature,Flood Label
31-03-06,7.827957,265.3,31.535484,23.7,88.008065,26.643871,0
30-04-06,8.155556,252.1,31.193333,23.53,87.741667,26.558667,0
31-05-06,8.516129,382.1,30.674194,23.493548,88.943548,26.185806,1
30-06-06,6.344444,87,32.636667,23.243333,82.475,27.158,0
31-07-06,6.956989,71.6,33.141935,23.403226,80.774194,27.276129,0
31-08-06,5.612903,16.7,34.36129,23.793548,78.048387,28.106452,0
30-09-06,6.2,32.8,35.153333,23.953333,77.55,28.673333,1
31-10-06,5.752688,66,35.393548,24.909677,74.943548,29.347097,0
30-11-06,8.055556,294,32.526667,23.376667,84.391667,26.926,0
31-12-06,7.924731,317.4,32.887097,23.632258,84.258065,27.314839,0
31-01-07,8.473118,414.4,30.7,23.270968,90.258065,26.433548,0
28-02-07,7.559524,137.7,33.228571,24.228571,78.973214,27.725,1
31-03-07,8.44086,336,31.254839,23.067742,89.443548,26.054839,1
30-04-07,7.833333,343.1,31.3,23.663333,88.466667,26.518667,0
31-05-07,8.053763,165.3,31.883871,23.832258,86.830645,26.834194,0
30-06-07,6.077778,100.2,32.706667,23.286667,84.2,26.93,1
31-07-07,6.290323,121.9,33.006452,23.490323,82.548387,27.220645,0
31-08-07,6.774194,133.3,32.996774,23.206452,82.354839,27.109677,0
30-09-07,7.111111,71.7,33.513333,23.746667,81.533333,27.552,0
31-10-07,7.591398,28.5,34.435484,24.36129,79.201613,28.160645,0
30-11-07,7.6,226.2,33.91,24.32,78.833333,28.258667,1
31-12-07,8.483871,327.9,31.596774,23.193548,87.806452,26.316129,0
31-01-08,8.419355,397.4,30.629032,23.293548,89.120968,25.90129,0
29-02-08,8.126437,298.8,31.031034,23.141379,89.603448,25.922759,0
31-03-08,8.688172,553,30.435484,22.777419,90.637097,25.394194,1
30-04-08,8.055556,345.4,31.756667,23.353333,87.658333,26.380667,0
31-05-08,8.193548,264.1,30.651613,23.412903,88.717742,26.052258,0
30-06-08,7.211111,202.7,31.706667,23.076667,85.95,26.356,0
31-07-08,5.247312,80.2,33.558065,23.467742,81.58871,27.276129,0
31-08-08,6.473118,58.4,34.351613,23.912903,81.354839,27.910968,0
30-09-08,7.744444,56,33.29,23.88,82.316667,27.668667,0
31-10-08,7.483146,162.2,32.746667,23.776667,88.637097,27.493548,1
30-11-08,8.211111,280.8,32.413333,23.693333,89.5,27.134,0
31-12-08,8.225806,458.1,31.948387,23.470968,86.830645,26.610323,0
31-01-09,8.827957,310.8,30.625806,23.132258,90.733871,25.836129,0
28-02-09,8.785714,457.9,30.407143,23.275,88.348214,25.926429,1
31-03-09,8.795699,232.5,31.077419,23.503226,87.201613,26.292903,0
30-04-09,8.644444,222.1,31.773333,23.896667,86.8,26.686667,0
31-05-09,8.247312,114,30.983871,23.922581,87.193548,26.509677,0
30-06-09,7.977778,165.8,31.176667,23.96,86.6,26.624667,0
31-07-09,5.72043,25.1,33.064516,24.229032,79.887097,27.753548,0
31-08-09,5.268817,5.4,34.741935,25.351613,72.83871,29.272258,0
30-09-09,4.4,4.2,35.613333,25.47,69.4,29.932,0
31-10-09,6.849462,26,35.348387,25.587097,71,29.671333,0
30-11-09,6.922222,132.3,35.373333,25.906667,69.591667,30.183333,1
31-12-09,8.72043,262.4,32.180645,24.822581,82.443548,27.700645,0
31-01-10,8.150538,295.8,31.951613,24.5,83.782258,27.334194,1
28-02-10,8.678571,352.5,31.821429,24.839286,87.1875,27.296429,0
31-03-10,7.55914,206.4,33.480645,25.090323,80.693548,28.426452,0
30-04-10,8.544444,303.4,31.503333,24.32,87.308333,27.054667,1
31-05-10,7.580645,165.1,32.306452,24.774194,84.419355,27.663226,0
30-06-10,5.977778,119.1,32.456667,24.266667,82.591667,27.541333,0
31-07-10,6.326087,100.6,32.374194,23.925806,81.766129,27.224516,0
31-08-10,3.88172,54.8,34.032258,24.358065,75.532258,28.389032,0
30-09-10,4.544444,26.6,35.266667,24.973333,72.4,29.501333,0
31-10-10,6.924731,116.9,35.025806,24.567742,75.459677,28.856774,0
30-11-10,8.055556,140.6,33.406897,24.39,78.966667,28.042,0
31-12-10,8.526882,290.1,32.403226,23.529032,83.870968,26.990968,1
31-01-11,8.516129,226.8,30.874194,23.545161,84.612903,26.438065,0
28-02-11,8.869048,493.3,30.814286,23.307143,84.982143,26.179286,1
31-03-11,8.290323,323.3,31.16129,23.974194,84.137097,26.614194,0
30-04-11,8.322222,515.9,30.993333,23.683333,84.425,26.607333,1
31-05-11,8.086022,222.4,31.336667,24.674194,82.604839,27.190968,0
30-06-11,6.744444,121.3,32.666667,24.91,75.983333,28.188667,0
31-07-11,4.430108,20.2,33.325806,24.941935,68.322581,28.82129,0
31-08-11,3.849462,64.3,34.796774,25.267742,64.741935,29.576774,0
30-09-11,5.777778,41.5,34.47,24.876667,69.908333,29.113333,0
31-10-11,7.387097,283.7,33.596774,24.964516,85.572581,28.510968,0
30-11-11,7.422222,272.8,32.81,24.783333,78.233333,27.990667,0
31-12-11,7.774194,194.5,32.683871,24.741935,79.33871,27.952903,0
31-01-12,8.365591,365.2,31.112903,23.890323,85.201613,26.385161,0
29-02-12,8.862069,288.7,30.693103,23.906897,86.310345,26.064828,1
31-03-12,8.032258,277.4,30.893548,23.932258,83.620968,26.612903,0
30-04-12,8.055556,195.6,31.623333,24.62,82.041667,27.244138,0
31-05-12,7.569892,167.8,31.977419,24.648387,79.16129,27.586,0
30-06-12,5.477778,85.4,32.54,24.773333,75.166667,28.098621,0
31-07-12,5.516129,83,32.509677,24.496774,76.025,27.773793,0
31-08-12,5.462366,26.6,34.045161,25.106452,70.620968,28.750323,0
30-09-12,5.777778,90.3,34.553333,25.11,72.225,29.104,0
31-10-12,6.88172,181.3,34.393548,25.593548,72.532258,29.233548,0
30-11-12,7.122222,284.5,34.116667,25.786667,74.941667,29.126897,1
31-12-12,8.44086,266.2,31.63871,24.406452,81.475806,27.09871,0
31-01-13,8.27957,314.6,32.325806,24.816129,83.516129,27.351613,0
28-02-13,8.571429,342.1,31.178571,24.132143,85.964286,26.498571,1
31-03-13,8.172043,427.4,31.287097,24.477419,86.830645,26.777419,1
30-04-13,8.166667,420.6,31.913333,24.883333,83.091667,27.296667,1
31-05-13,7.11828,238.4,31.932258,24.564516,83.274194,27.24129,0
30-06-13,5.7,32.3,33.063333,25.483333,75.458333,28.450667,0
31-07-13,5.924731,167.1,32.183871,24.254839,76.58871,27.41871,0
31-08-13,7.129032,53,33.145161,24.970968,73.209677,28.183871,0
30-09-13,6.388889,121,33.91,25.38,73.1,28.693793,0
31-10-13,6.677419,193,34.287097,25.619355,71.427419,29.191613,0
30-11-13,8.077778,312.2,32.406667,24.453333,82.766667,27.278667,0
31-12-13,7.193548,101.3,33.245161,25.525806,76.790323,28.474194,0
31-01-14,7.376344,253.3,31.880645,24.996774,80.274194,27.457419,0
28-02-14,8.630952,245.4,31.046429,24.228571,85.785714,26.497857,1
31-03-14,8.354839,527.7,31.16129,24.403226,85.032258,26.81871,1
30-04-14,7.722222,255,31.96,24.883333,82.916667,27.456667,0
31-05-14,8.044444,411.3,31.493548,24.845161,83.508065,27.294839,0
30-06-14,6.404494,211.7,32.336667,25.183333,78.7,28.053333,0
31-07-14,5.255376,66.1,32.470968,24.658065,76.427419,27.81871,1
31-08-14,4.809783,32.2,33.996774,25.325806,70.620968,28.876774,0
30-09-14,5.083333,0.6,35.953333,26.25,63.408333,30.192,0
31-10-14,7.526882,190.9,33.112903,24.741935,77.080645,28.006452,0
30-11-14,7.708333,196,32.973333,25.68,77.15,28.461333,0
31-12-14,7.728495,173.8,32.851613,25.735484,80.266129,28.138667,1
31-01-15,7.903226,303.7,31.580645,24.648387,82.612903,26.884,0
28-02-15,7.425595,214,32.192857,25.082143,79.946429,27.491111,0
31-03-15,8.319892,373.7,31.854839,24.564516,85.072581,26.810968,1
30-04-15,7.597222,165.5,32.016667,24.903333,82.266667,27.468,0
31-05-15,7.774194,280.8,31.96129,24.951613,83.451613,27.372903,1
30-06-15,5.861111,75.8,32.703333,25.276667,77.4,28.114,0
31-07-15,4.771505,47.3,33.425806,25.203226,74.282258,28.427097,0
31-08-15,4.260753,10.7,35.422581,26.219355,69.258065,30.144,0
30-09-15,4.277778,15.8,37.106667,27.543333,64.008333,31.557931,0
31-10-15,6.962366,31.3,36.053333,27.219355,62.645161,30.795333,0
30-11-15,7.027778,90.7,34.786667,26.363333,68.308333,29.840667,0
31-12-15,8.225806,126.4,33.948387,26.458065,72.887097,29.372,0
